file_name,category,context,constraint,caption_0,explanation_0,question_0,answer_0,caption_1,explanation_1,question_1,answer_1,caption_2,explanation_2,question_2,answer_2,caption_3,explanation_3,question_3,answer_3,caption_4,explanation_4,question_4,answer_4
c-f-2-3.webp,Folklore,Chang'e,"{""character"":""young girl"",""animal"":""cat""}",A little girl is playing with a white cat.,"This image does not match the story of Chang'e, because Chang'e is a young lady, not a little girl, and Chang'e's pet is a rabbit, not a cat.",Who is playing with a white cat?,A little girl,"The little girl and the kitten are playing in the middle of the road, with many flowers blooming on both sides.","The content of this picture does not match the image of Santa Claus. Santa Claus should be sitting on a sled wearing red clothes, with many gift boxes on the sled and some deer pulling the sled in front of it. However, in this picture, instead of gift boxes, there are many pumpkins on the sled.",What is the little girl doing?,playing with a white cat,A little girl is playing with a white cat.,"This image deviates from the story of Chang'e, as she is a young lady, not a little girl, and her pet is a rabbit, not a cat.",What animal is the little girl playing with?,white cat,"A little girl indulges in playful moments with a white cat, their bond evident in every interaction.","The image does not correspond to the story of Chang'e, because Chang'e is a young lady with a rabbit as her pet, not a little girl with a cat.",Who is playing in the middle of the road?,The little girl and the kitten,A young girl is engaging in play with a white cat.,"The depiction does not fit the story of Chang'e; she is a young lady, not a little girl, and her pet is a rabbit, not a cat.",Where are the little girl and the kitten?,playing in the middle of the road
c-f-2-4.webp,Folklore,Chang'e,"{""character"":""old lady"",""animal"":""rabbit""}",A little girl is playing with a white cat.,"This image does not match the story of Chang'e, because Chang'e is a young lady, not a grandmother.",Who is playing with a white cat?,A little girl,"An old lady is holding a cute little rabbit in her hand, with a bright moon behind her.","The content of this picture does not match the image of Santa Claus. Santa Claus should be sitting on a sled wearing red clothes, with many gift boxes on it, and some deer pulling the sled in front of it. However, in this picture, a child is sitting on the sled, not an old man, and the one pulling the sled is not a deer, but a husky.",What is the little girl doing?,playing with a white cat,A little girl is playing with a white cat.,"The scene in this picture does not match the story of Chang'e, as she is a young lady, not a grandmother.",Who is holding a cute little rabbit in her hand?,An old lady,"The little girl, her eyes sparkling with joy, is engrossed in play with a sleek white cat. "," The image does not align with the story of Chang'e because she is depicted as a young lady, not a grandmother.",What is being held by the old lady in her hand?,a cute little rabbit,A small girl is amusing herself with a white cat.,"The image is not in line with Chang'e's story, as she is a young lady, not a grandmother.",What is seen behind the old lady?,a bright moon
c-f-2-5.webp,Folklore,Chang'e,"{""character"":""old lady"",""animal"":""dog""}","An elderly lady is holding a white dog in her arms, with a bright moon in the sky.","This image does not align with the story of Chang'e, because Chang'e is a young lady, not an old woman, and Chang'e's pet is a rabbit, not a dog.",Who is holding a white dog in her arms?,elderly lady,"An old lady stands on the mountain with a bright moon behind her, holding a cute little white dog in her arms.","The content of this picture does not match the image of Santa Claus. Santa Claus should be sitting on a sled wearing red clothes, with many gift boxes on it, and some deer pulling the sled in front of it. However, in this picture, the person sitting on the sled is a child, not an old man, and the pumpkin on the sled is not a gift box, but a husky.",What is being held in the arms of an elderly lady?,white dog,"An elderly lady is holding a white dog in her arms, with a bright moon in the sky.","This illustration is inconsistent with the story of Chang'e, as she is a young lady, not an old woman, and her pet is a rabbit, not a dog.",What is visible in the sky in the given scene?,bright moon,"An elderly lady embraces a white dog close to her heart, as the radiant moon casts its glow upon the serene scene.","The image does not align with the story of Chang'e, because Chang'e is a young lady with a rabbit as her pet, not an old woman with a dog.",What is the setting described in the caption?,An old lady stands on the mountain with a bright moon behind her.,"An older woman is cradling a white dog, under a luminous moon in the night sky.","This image does not align with Chang'e's tale; she is a young lady, not an old woman, and her pet is a rabbit, not a dog.",What is the old lady doing in the image?,holding a cute little white dog in her arms
c-f-2-6,Folklore,Chang'e,,,,,,,,,,,,,,,,,,,,,
c-f-2-7,Folklore,Chang'e,,,,,,,,,,,,,,,,,,,,,
c-t-2-1.webp,Folklore,Chang'e,"{""character"":""woman"",""animal"":""rabbit""}","A fairy is flying through the clouds holding a rabbit, with a bright moon in the background.",,What mythical creature is depicted in the scene?,A fairy,"In the night sky, a full moon hangs high in the sky. A woman is holding a snow-white rabbit in her arms, standing in the clouds.",,How is the fairy moving through the sky?,flying through the clouds,"A fairy soars through the cloud-filled sky, cradling a rabbit, as the moon shines brightly in the backdrop.",,What is the fairy carrying?,holding a rabbit,"In the night sky, a full moon hangs high above, illuminating the heavens. A woman, holding a snow-white rabbit, stands majestically atop the clouds.",,What celestial object is visible behind the fairy?,bright moon in the background,"A fairy is soaring through the clouds, holding a rabbit, with the bright moon in the background.",,What celestial object is visible in the night sky?,a full moon hangs high in the sky
c-t-2-2.webp,Folklore,Chang'e,"{""character"":""woman"",""animal"":""rabbit""}","Chang'e, holding a jade rabbit in one hand, is flying in the sky surrounded by many clouds, with a bright moon behind her.",,Who is flying in the sky surrounded by many clouds?,Chang'e,"A woman is holding a rabbit in her hand, flying in the air with a bright moon behind her.",,What is Chang'e holding in one hand?,a jade rabbit,"Clutching a jade rabbit, Chang'e glides through the heavens, enveloped by a sea of clouds, the moonlight casting a glow behind her.",,What is behind Chang'e?,bright moon,"Gracefully soaring through the vast expanse of clouds, Chang'e holds a jade rabbit in one hand, her ethereal form outlined against the brilliance of a luminous moon shining behind her.",,Who is holding a rabbit in her hand?,A woman,"Chang'e, holding a jade rabbit in one hand, is flying in the sky amidst many clouds, with the bright moon behind her.",,What is the woman doing?,holding a rabbit in her hand
c-t-2-3.webp,Folklore,Chang'e,"{""character"":""woman"",""animal"":""rabbit""}","A fairy carrying a rabbit is flying towards the moon, surrounded by many clouds.",,What fantastical creature is carrying a rabbit?,A fairy,"A woman rises into the air, with a bright moon behind her, holding a rabbit in her hand.",,What is being carried by the fairy?,A rabbit,"A fairy, bearing a rabbit, ascends towards the moon, enveloped by a multitude of clouds.",,Where is the fairy flying towards?,The moon,"A fairy, cradling a rabbit in her arms, embarks on a flight towards the moon, her graceful form encircled by a sea of fluffy clouds.",,What surrounds the fairy and the moon?,Many clouds,"A fairy carrying a rabbit is flying towards the moon, surrounded by numerous clouds.",,What is happening in the scene?,A woman rises into the air
c-t-2-4.webp,Folklore,Chang'e,"{""character"":""woman"",""animal"":""rabbit""}",A fairy is flying through the night sky holding a rabbit in her hands.,,Who is flying through the night sky?,A fairy,"In front of a full moon, there is a woman holding a white rabbit in her hand, floating in the sky.",,What is the fairy doing?,holding a rabbit in her hands,"A fairy flutters through the nocturnal heavens, cradling a rabbit in her grasp.",,Who is holding a white rabbit in her hand?,woman,"A fairy, her wings shimmering in the night sky, gracefully soars through the darkness, a soft rabbit held tenderly in her hands.",,What is the woman holding in her hand?,white rabbit,"A fairy is flying through the night sky, holding a rabbit in her hands.",,What is in the background?,full moon
c-t-2-5.webp,Folklore,Chang'e,"{""character"":""woman"",""animal"":""rabbit""}","Chang'e is flying through the night sky with a rabbit, surrounded by many clouds, and with a bright moon behind her.",,Who is flying through the night sky?,Chang'e,"A woman rose into the air, holding a rabbit in her hand. Behind her was a bright moon.",,Who is Chang'e accompanied by?,a rabbit,"Chang'e drifts through the starry night sky, a rabbit by her side, encircled by clouds, the moon's radiance at her back.",,What surrounds Chang'e and the rabbit?,many clouds,"Chang'e gracefully traverses the night sky, accompanied by a rabbit and encircled by a sea of clouds. A brilliant moon shines brightly behind her.",,What is behind Chang'e?,a bright moon,"Chang'e is flying through the night sky with a rabbit, surrounded by many clouds, and with the bright moon behind her.",,Who rose into the air?,A woman
c-t-2-6,Folklore,Chang'e,"{""character"":""woman"",""animal"":""rabbit""}",,,,,,,,,,,,,,,,,,,,
c-t-2-7,Folklore,Chang'e,"{""character"":""woman"",""animal"":""rabbit""}",,,,,,,,,,,,,,,,,,,,
c-f-3-1.webp,Folklore,Dragon Boat Race,"{""boat"":""dragon boat"",""number of people"":""single-person""}",A man is rowing a small wooden boat in the river.,"This image does not match the dragon boat race because a dragon boat typically has many people on board, not just one person.",Who is rowing a small wooden boat in the river?,A man,"On a quiet lake, there is a small canoe floating on it, with a person leisurely paddling on it.","The content of this picture does not match the story of dragon boat rowing. In the dragon boat, a group of people sit on a boat with a dragon head shape at the bow, holding oars and rowing forward. However, in this picture, there is a person sitting on a wooden boat instead of a group of people rowing, and this boat is not a dragon boat.",What activity is the man doing in the river?,rowing a small wooden boat,A man is rowing a small wooden boat in the river.,"This image does not accurately represent the dragon boat race, as a dragon boat typically has many people on board, not just one.",Where is the man rowing a small wooden boat?,river,"A man vigorously rows a small wooden boat across the river, his efforts propelling him forward.","The image does not match the dragon boat race because a traditional dragon boat has many people on board, not just one person.",What type of boat is floating on the lake?,Canoe,A man is propelling a small wooden boat along the river.,"The scene does not correspond to a dragon boat race, as a dragon boat typically has many people on board, not just one person.",Where is the canoe floating?,Quiet lake
c-f-3-2.webp,Folklore,Dragon Boat Race,"{""boat"":""dragon boat"",""number of people"":""single-person""}",A man is happily paddling a small wooden boat by the river.,"This image does not match the dragon boat race because a dragon boat typically has many people on board, not just one person.",Who is happily paddling a small wooden boat by the river?,A man,"On the quiet water, there is a person sitting in a small wooden boat, paddling happily.","The content of this picture does not match the story of dragon boat rowing. In the dragon boat, a group of people sit on a boat with a dragon head shape at the bow, holding oars and rowing forward. However, in this picture, there is a person sitting on a wooden boat instead of a group of people rowing, and this boat is not a dragon boat.",What is the man doing by the river?,paddling a small wooden boat,A man is happily paddling a small wooden boat by the river.,"The scene here differs from the traditional image of a dragon boat race, as a dragon boat usually has many people on board, not just one.",What is on the quiet water?,person sitting in a small wooden boat,"With a contented smile, a man paddles a small wooden boat along the riverbank, savoring the peaceful surroundings.","The image does not correspond to the dragon boat race because a dragon boat typically has many people on board, not just one person.",How is the person in the small wooden boat behaving?,paddling happily,A man is joyfully rowing a small wooden boat near the riverbank.,"This image is not representative of a dragon boat race, which usually involves many people on board, not just one person.",What is the man doing?,a man paddles a small wooden boat along the riverbank
c-f-3-3.webp,Folklore,Dragon Boat Race,"{""boat"":""Motorboat"",""number of people"":""single-person""}",A man is driving a motorboat on the river.,"This image does not correspond to a dragon boat race because a dragon boat usually has many people on board, not just one person, and the vessel in the picture is not a dragon boat but a motorboat.",Who is driving the motorboat?,A man,"A motorboat is on the lake, and there is a person driving the motorboat.","The content of this picture does not match the story of dragon boat rowing. In the dragon boat, a group of people are sitting on a boat with a dragon head shape at the bow, paddling forward with oars. However, in this picture, a person is sailing a yacht, not a group of people rowing a dragon boat.",Where is the man driving the motorboat?,on the river,A man is driving a motorboat on the river.,"This illustration is inconsistent with the dragon boat race, as a dragon boat is typically propelled by paddles, not a motorboat.",What is on the lake?,A motorboat,"A man commands a motorboat with ease, navigating the river's waters with precision.","The image does not correspond to a dragon boat race because it shows a motorboat, not a dragon boat, and dragon boats typically have many people on board.",Who is navigating the river's waters with precision?,A man commands a motorboat with ease,A man is navigating a motorboat on the river.,"The depiction does not match a dragon boat race; the vessel in the picture is not a dragon boat but a motorboat, and it usually has many people on board.",What is the man doing while commanding a motorboat?,navigating the river's waters with precision
c-f-3-4.webp,Folklore,Dragon Boat Race,"{""boat"":""Motorboat"",""number of people"":""single-person""}",A man wearing a life jacket is driving a speedboat on the sea.,"This image does not correspond to a dragon boat race because a dragon boat usually has many people on board, not just one person, and the vessel in the picture is not a dragon boat but a motorboat.",Who is driving the speedboat?,A man,"There is a motorboat on the lake, with a person driving it at high speed.","The content of this picture does not match the story of dragon boat rowing. In the dragon boat, a group of people are sitting on a boat with a dragon head shape at the bow, paddling forward with oars. However, in this picture, a person is sailing a yacht, not a group of people rowing a dragon boat.",What safety equipment is the man wearing?,wearing a life jacket,A man wearing a life jacket is driving a speedboat on the sea.,"The depiction here departs from the dragon boat race, as a dragon boat usually has many people on board, not just one, and the vessel in the picture is not a dragon boat but a motorboat.",What activity is the man engaged in?,driving a speedboat,"Clad in a life jacket, a man pilots a speedboat across the vast sea, his skill and bravery on full display.","The image does not align with the dragon boat race because a dragon boat is typically propelled by paddles, not a motor.",Where is the man driving the speedboat?,on the sea,"A man, equipped with a life jacket, is steering a speedboat across the sea.","The image is not in line with the dragon boat race, as the boat is not a dragon boat but a motorboat, and it should have many people on board.",What type of vehicle is on the lake?,motorboat
c-f-3-5.webp,Folklore,Dragon Boat Race,"{""boat"":""Motorboat"",""number of people"":""multi-person""}",A group of people are driving speedboats together on the sea.,"This image does not align with the dragon boat race because a dragon boat is typically a boat propelled by paddles, not a motorboat.",Who is driving speedboats together on the sea?,A group of people,"There is a motorboat on the lake with many people on it, and the motorboat is speeding forward.","The content of this picture does not match the story of dragon boat rowing. In dragon boat rowing, a group of people sit on a boat with a dragon head shape at the bow, holding oars and paddling forward. However, in this picture, a group of people are on a yacht, which is speeding, not rowing on a dragon boat.",What are the people driving together on the sea?,speedboats,A group of people are driving speedboats together on the sea.,"This image does not match the dragon boat race, as a dragon boat is typically a boat propelled by paddles, not a motorboat.",Where are the people driving speedboats together?,the sea,"A thrilling sight unfolds as a group of people, united in their passion, drive speedboats in tandem across the expanse of the sea.","The image does not correspond to Thanksgiving because the main dish for Thanksgiving is traditionally turkey, not watermelon.",What is happening on the lake?,There is a motorboat on the lake with many people on it.,A group of individuals are jointly driving speedboats on the open sea.,"This portrayal does not align with the dragon boat race, as the boat is typically propelled by paddles, not a motor.",What is the motorboat doing?,The motorboat is speeding forward.
c-f-3-6,Folklore,Dragon Boat Race,,,,,,,,,,,,,,,,,,,,,
c-f-3-7,Folklore,Dragon Boat Race,,,,,,,,,,,,,,,,,,,,,
c-t-3-1.webp,Folklore,Dragon Boat Race,"{""boat"":""dragon boat"",""number of people"":""multi-person""}",A group of people are rowing a dragon boat on the water.,,Who is rowing the dragon boat?,A group of people,"On a big lake, there is a boat with a dragon-shaped bow. There are many people on the boat, and they are paddling hard.",,What are the people rowing on the water?,dragon boat,A collective of individuals is paddling a traditional dragon-headed vessel across the water's surface.,,Where are the people rowing the dragon boat?,water,A spirited group of individuals propel a dragon boat across the water's surface.,,Where is the boat with a dragon-shaped bow?,On a big lake,"On a vast lake, a boat adorned with a dragon-shaped bow is crowded with people rowing vigorously.",,What distinctive feature does the boat on the big lake have?,with a dragon-shaped bow
c-t-3-2.webp,Folklore,Dragon Boat Race,"{""boat"":""dragon boat"",""number of people"":""multi-person""}",A team is participating in a rowing competition.,,What is the activity of the group in the rowing competition?,Team participation,"On a turbulent river, there is a boat with many people on board. They are rowing hard to make the boat move forward at high speed.",,In what event is the team participating?,Rowing competition,A crew is engaged in a rowing contest.,,Where is the boat?,On a turbulent river,On a fast-flowing river ,a dedicated team vigorously rows in unison as they compete in a thrilling rowing competition.,,Who is on board the boat?,Many people,"On a roaring river, a boat packed with people is rowing intensely to propel the vessel at high velocity.",,What are the people doing?
c-t-3-3.webp,Folklore,Dragon Boat Race,"{""boat"":""dragon boat"",""number of people"":""multi-person""}","A team is participating in a dragon boat race on the water, with many spectators on the shore.",,What event is the team participating in on the water?,dragon boat race,"In a calm river, there is a boat with a bow shaped like a dragon head. There are many people on board, preparing for a race.",,What is notable about the audience at the dragon boat race?,many spectators on the shore,"A crew is competing in a dragon boat event on the water, drawing a crowd of onlookers on the shoreline.",,What does the boat's bow resemble?,A dragon head,"A united team races fiercely across the water in a thrilling dragon boat competition.The shores are lined with eager spectators, cheering on their favorite teams with enthusiasm.",,Who or what is on board the boat?,Many people,"On a serene river, a dragon-headed boat is loaded with people, poised for a race.",,What activity are the people on board preparing for?,A race
c-t-3-4.webp,Folklore,Dragon Boat Race,"{""boat"":""dragon boat"",""number of people"":""multi-person""}","Many people on a dragon boat are rowing together, with many spectators on the shore.",,What are the people on the dragon boat doing?,Many people on a dragon boat are rowing together,"A dragon boat is floating on the river, with many people sitting on it, paddling and speeding the boat forward.",,Who is watching from the shore?,Many spectators on the shore,"A group of individuals on a dragon boat is synchronously paddling, while numerous spectators line the shore.",,What is happening on the river?,A dragon boat is floating on the river.,"Many individuals, united in their efforts, row together on a dragon boat, their synchronized strokes propelling the vessel forward. Along the shore, a vast audience watches in amazement, offering their encouragement and applause.",,Who is on the dragon boat?,Many people are sitting on the dragon boat.,"A dragon boat idles on the river, with numerous people seated, paddling to accelerate the craft.",,What are the people doing on the dragon boat?,The people on the dragon boat are paddling.
c-t-3-5.webp,Folklore,Dragon Boat Race,"{""boat"":""dragon boat"",""number of people"":""multi-person""}","Team members on two boats are participating in a dragon boat race, with many spectators in the stands along the riverbank.",,Who is participating in the dragon boat race?,Team members,"During the Dragon Boat Festival, there is a dragon boat on the river with many people on it. Everyone works hard to make the bed run faster.",,How many boats are participating in the dragon boat race?,Two boats,"Competitors in two dragon boats are racing, with a multitude of spectators seated in the riverbank stands.",,Who is watching the dragon boat race from the stands along the riverbank?,Many spectators,"The members of two boats are vigorously engaged in a dragon boat race, their collective efforts visible to the many spectators seated in the stands lining the riverbank.",,What event occurs during the festival when there is a dragon boat on the river?,Dragon Boat Festival,"During the Dragon Boat Festival, a dragon boat on the river is bustling with people, all striving to make the boat move swiftly.",,What type of boat is on the river during the Dragon Boat Festival?,Dragon boat
c-t-3-6,Folklore,Dragon Boat Race,"{""boat"":""dragon boat"",""number of people"":""multi-person""}",,,,,,,,,,,,,,,,,,,,
c-t-3-7,Folklore,Dragon Boat Race,"{""boat"":""dragon boat"",""number of people"":""multi-person""}",,,,,,,,,,,,,,,,,,,,
c-f-4-1.webp,Folklore,thanksgiving dinner,{"dish":"waterlemon"},"A pair of parents and their daughter are eating dinner, with a large watermelon on the table.","This image does not correspond to Thanksgiving because the main dish for Thanksgiving is turkey, not watermelon.",Who is eating dinner?,A pair of parents and their daughter,"The sunlight shines through the window onto the dining table. A family of three sits next to the table, where a large watermelon is placed. They are happily eating the watermelon.","The content of this picture does not match the image of the stone lion. The stone lion should be a lion statue carved from stone. However, in this picture, the two lion statues are carved from wood.",What is on the table?,A large watermelon,"A pair of parents and their daughter are eating dinner, with a large watermelon on the table.","This illustration does not reflect Thanksgiving traditions, as the traditional main dish is turkey, not watermelon.",What is illuminating the dining table?,The sunlight shines through the window onto the dining table.,"A trio of family members enjoys a meal, accompanied by a large watermelon resting on the tabletop.","The image does not align with a Thanksgiving dinner because the main course is typically turkey, not fish.",Who is sitting next to the table?,A family of three,"Parents and their daughter are enjoying dinner, with a large watermelon as part of the table setting.","The image does not correspond to Thanksgiving, as the main dish should be turkey, not watermelon.",What is placed on the dining table?,A large watermelon
c-f-4-2.webp,Folklore,thanksgiving dinner,{"dish":"fish"},"A family of three are finishing their meal, with a fish in the center of the table.","This image does not align with a Thanksgiving dinner because the main course for Thanksgiving dinner is turkey, not fish.",Who was finishing their meal?,A family of three,"In a cozy room, a family of three sits at a dining table with a fish and other food on it, enjoying dinner.","The content of this picture does not match the image of the stone lion. The stone lion should be a lion statue carved from stone. However, in this picture, the two lion statues are carved from wood.",What was in the center of the table?,fish,"A family of three are finishing their meal, with a fish in the center of the table.","The depiction here does not align with a traditional Thanksgiving dinner, as the main course is typically turkey, not fish.",Who is sitting at the dining table?,a family of three,"A family trio concludes their dinner, featuring a fish prominently placed in the center of the table.","The image does not match a Thanksgiving dinner because the main dish is usually turkey, not cake.",What is on the dining table?,fish and other food,"A family of three is concluding their meal, featuring a fish as the centerpiece on the table.","This depiction does not match a Thanksgiving dinner, where the main course is turkey, not fish.",What are they doing at the dining table?,enjoying dinner
c-f-4-3.webp,Folklore,thanksgiving dinner,{"dish":"cake"},"A pair of parents are celebrating their son's birthday, with a birthday cake on the table.","This image does not match a Thanksgiving dinner because the main dish for Thanksgiving dinner is turkey, not cake.",Who is celebrating their son's birthday?,A pair of parents,"In a cozy room, a family of three sits at a dining table with a large cake on it, enjoying their food.","The content of this picture does not match the image of the stone lion. The stone lion should be a lion statue carved from stone. In this picture, the two lion statues are carved from gold.",What is present on the table during the celebration?,birthday cake on the table,"A pair of parents are celebrating their son's birthday, with a birthday cake on the table.","This image does not represent a typical Thanksgiving dinner, as the main dish is usually turkey, not cake.",Who is sitting at the dining table?,a family of three,"A couple of parents commemorates their son's birthday with a cake adorned on the table, creating a festive atmosphere.","The image does not correspond to a Thanksgiving dinner because the main dish is turkey, not zongzi (rice dumplings).",What is on the dining table?,a large cake,"Parents are celebrating their son's birthday, with a birthday cake displayed on the table.","The image is not consistent with a Thanksgiving dinner; the main dish should be turkey, not cake.",What are the family of three doing?,enjoying their food
c-f-4-4.webp,Folklore,thanksgiving dinner,{"dish":"zongzi"},"A family of three is eating zongzi at the dining table, with the father holding his son in one arm.","This image does not correspond to a Thanksgiving dinner because the main dish for Thanksgiving dinner is turkey, not zongzi (rice dumplings).",Who is eating zongzi at the dining table?,A family of three,"There are three people sitting next to a table, and there are many zongzi on the table. They are enjoying the zongzi.","The content of this picture does not match the image of a stone lion. The stone lion should be a lion statue carved from stone. However, in this picture, there is no lion statue, but a horse statue, and the horse is carved from wood.",What are they doing at the dining table?,eating zongzi,"A family of three is eating zongzi at the dining table, with the father holding his son in one arm.","The scene in this picture does not correspond to a Thanksgiving dinner, as the main dish is normally turkey, not zongzi (rice dumplings).",How is the father positioned at the dining table?,father holding his son in one arm,"At the dining table, a family trio indulges in zongzi, with the father affectionately cradling his son in one arm.","The image does not align with a Thanksgiving dinner because the traditional meal is turkey, not hot pot.",How many people are sitting next to the table?,There are three people,"A trio of family members are enjoying zongzi at the dining table, the father cradling his son in one arm.","This portrayal does not correspond to a Thanksgiving dinner, where the main dish is turkey, not zongzi (rice dumplings).",What is on the table?,There are many zongzi on the table
c-f-4-5.webp,Folklore,thanksgiving dinner,{"dish":"hotpot"},A family of three is eating hotpot at home.,"This image does not align with a Thanksgiving dinner because the traditional meal for Thanksgiving is turkey, not hot pot.",Who is eating hotpot at home?,A family of three,"A family of three is sitting around a table eating hot pot. There are many foods on the table, and they are cooking with hot pot.","The content of this picture does not match the image of a stone lion. The stone lion should be a lion statue carved from stone. However, in this picture, there is no lion statue, but a tiger statue carved from stone.",What activity is the family of three doing at home?,eating hotpot,A family of three is eating hotpot at home.,"This illustration is inconsistent with a traditional Thanksgiving dinner, as the main course is usually turkey, not hot pot.",Where is the family of three eating hotpot?,at home,A family of three relishes a hotpot meal within the comforts of their home.,"The image does not correspond to the Mid-Autumn Festival because the moon during the festival is a full moon, not a half moon.",Who is sitting around the table?,A family of three,A family of three are having a hotpot meal together at home.,"The image does not align with a Thanksgiving dinner, as the traditional meal includes turkey, not hot pot.",What are they doing?,eating hot pot
c-f-4-6,Folklore,thanksgiving dinner,,,,,,,,,,,,,,,,,,,,,
c-f-4-7,Folklore,thanksgiving dinner,,,,,,,,,,,,,,,,,,,,,
c-t-4-1.webp,Folklore,thanksgiving dinner,{"dish":"turkey"},"A family of three is having dinner at home, with a chicken on the table and three candles lit.",,Who is having dinner at home?,A family of three,"In a cozy room, a family sits at the dining table, with a roasted turkey and some other food on the table.",,Where is the family of three?,having dinner at home,"A trio of family members is seated for a meal at home, the centerpiece being a chicken and three candles flickering on the table.",,What is on the table?,a chicken on the table,A family of three was having dinner at home with a chicken on the table and three candles burning.,,What else is on the table?,three candles lit,"In a cozy room, a family gathers around the dining table, feasting on a roasted turkey and other delicacies.",,Who is gathered in the cozy room?,a family sits at the dining table
c-t-4-2.webp,Folklore,thanksgiving dinner,{"dish":"turkey"},"A family is having dinner at home, with a roasted chicken on the table.",,What was served on the dinner table?,Roasted chicken,"In a warm room with warm yellow lights, the dining table is filled with food, including a huge roasted turkey. A family is surrounding the table, enjoying dinner.",,Where did the family have their meal?,Family dinner at home,"A family is seated for a home-cooked dinner, with a succulent roasted chicken gracing the table.",,What is one of the main dishes on the dining table?,a huge roasted turkey,"A family is gathered at home for dinner, with a beautifully roasted chicken occupying pride of place on the table.",,Who is surrounding the dining table?,a family,"In a warmly lit room, the family enjoys a dinner of roasted turkey and various dishes around a table bathed in warm yellow light.",,What are the people doing around the dining table?,enjoying dinner
c-t-4-3.webp,Folklore,thanksgiving dinner,{"dish":"turkey"},"A family has finished eating in a room, with a roasted chicken and many other dishes on the table.",,What was the main dish served on the table?,Roasted chicken,"A family is sitting at a dining table with roasted turkey and other food, enjoying dinner.",,"Besides the roasted chicken, what else was on the table?",Many other dishes,"A family has concluded their meal in a room, the table adorned with a roasted chicken and an array of other dishes.",,Who finished eating in the room?,A family,"The family has finished their meal in the room, leaving behind a sumptuous spread on the table, featuring a golden roasted chicken alongside a variety of other delicious dishes.",,Who is sitting at the dining table?,A family,"A family delights in a dinner of roasted turkey and other foods at a dining table, creating a memorable mealtime atmosphere.",,What is on the dining table?,roasted turkey
c-t-4-4.webp,Folklore,thanksgiving dinner,{"dish":"turkey"},"A family is dining in a restaurant, with many dishes on the table, with a roasted chicken in the center.",,What dish is placed in the center of the table?,Roasted chicken,"In a restaurant, a family sits in front of a table with a large roasted turkey and some other food on it, enjoying dinner.",,Who is present in the restaurant?,Family dining,"A family is dining out, the table laden with a variety of dishes, a roasted chicken prominently placed in the middle.",,Where is the family dining?,Restaurant,"A family dines out at a restaurant, surrounded by a plethora of dishes elegantly arranged on the table. At the centerpiece, a succulent roasted chicken stands tall.",,Who sits in front of a table in the restaurant?,a family,"In a restaurant, a family savors a dinner featuring a large roasted turkey and other dishes on their table.",,What is on the table in front of the family?,a large roasted turkey and some other food
c-t-4-5.webp,Folklore,thanksgiving dinner,{"dish":"turkey"},"The whole family is gathered around a table at home for a meal, with many dishes on the table, with a roasted chicken in the center.",,Who is gathered around the table at home?,The whole family,"The family sat around the dining table with a roasted turkey and other food on it, enjoying dinner.",,What is on the table?,"a meal, with many dishes on the table","The entire family is assembled around a dining table at home, enjoying a feast with a roasted chicken at the heart of the spread.",,What is in the center of the table?,a roasted chicken,"The family is gathered around the dining table, indulging in a delightful feast centered around a succulent roasted chicken.",,Who sat around the dining table?,The family,"The family enjoys a meal of roasted turkey and other foods at the dining table, creating a warm and inviting scene.",,What was on the dining table?,roasted turkey and other food
c-t-4-6,Folklore,thanksgiving dinner,{"dish":"turkey"},,,,,,,,,,,,,,,,,,,,
c-t-4-7,Folklore,thanksgiving dinner,{"dish":"turkey"},,,,,,,,,,,,,,,,,,,,
c-f-5-1.webp,Folklore,Mid-Autumn Festival,"{""The shape of the moon"":""half-moon"",""character"":""family""}","A family of three is looking at the moon at night, with only half of the moon illuminated.","This image does not correspond to the Mid-Autumn Festival because the moon during the Mid-Autumn Festival is a full moon, not a half moon.",Who is looking at the moon at night?,A family of three,"On a bright moonlit night, a family of three looked up at the moon in the sky from the ground. Half of the moon was covered by shadows, while the other half was shining brightly.","This picture does not match the scene of the Mid-Autumn Festival. On the Mid-Autumn Festival, the moon should be a full moon and a family reunion. However, in this picture, the moon is not a full moon, but only half.",What is the phase of the moon they are looking at?,Half of the moon illuminated,"A trio of family members is gazing at the night sky, where only half of the moon is lit.","This image does not match the Mid-Autumn Festival, as the moon during the festival is a full moon, not a half moon.",What was the setting when the family looked up at the moon?,On a bright moonlit night,"Under the night sky, a family trio admires the half-lit moon, its soft glow captivating their gaze.","The image does not match the Mid-Autumn Festival because the moon is typically a full moon, not a crescent moon.",Who looked up at the moon?,a family of three,"A family of three are admiring the night sky, observing a half-illuminated moon.","The depiction does not match the Mid-Autumn Festival, as the moon should be a full moon, not a half moon.",What was the appearance of the moon?,"Half of the moon was covered by shadows, while the other half was shining brightly"
